pub_title,pub_description,related_pub_title,related_pub_link,research_inventor,research_inventor_link,managed_by,managed_by_link,patent_protection,technology_number
Reconstructing Detailed Textured Surface Models from Endoscopic Videos,"A method has been developed for constructing an accurate three-dimensional textured surface from an endoscopic video, and for transferring information from the reconstruction onto images gathered through other modalities such as computed tomography (CT). This technology facilitates more efficient and thorough review by clinicians and researchers and has demonstrated usefulness in planning radiotherapy for throat cancer and improving colonoscopic screening. The generalizability of the system to other organs in the body also increases its potential.",Missed Colonic Surface Area at Colonoscopy Can Be Calculated with Computerized 3D Reconstruction,https://www.sciencedirect.com/science/article/pii/S0016510718307272,Stephen Pizer,http://technologies.unc.edu/inventors/18585179_stephen-pizer,Peter Liao Commercialization Manager 919.843.5028,http://technologies.unc.edu/managers/358_peter-liao,US Patent Pending,#18-0149
Crosslinked Hyperbranched Poly(aryletherketone) Membranes for Gas Separation at Elevated Temperature,"Gas separation techniques currently use energy-intensive condensation methods. While the high chemical and thermal stability of commercially available PAEKs make them promising membrane candidates, poor solubility hinders their processability and low glass transition temperatures (~150°C) limits their applicability for high temperature separations. Soluble, reactive hyperbranched poly(aryletherketone)s (HBPAEKs) have been developed that are easily processed into thin membranes that demonstrate gas separation at high temperatures over extended periods. Crosslinking of the HBPEAKs increases the glass transition temperatures (~250°C) of the resulting thin films and tunable free volume, enabling their use as gas separation membranes with performance that exceeds current state-of-the-art membranes.Advantages:· H2/CH4, H2/N2, and H2/CO2 separation at or near the Robeson limit· Continuous separation of H2/N2 at 200°C for two weeks without a decrease in selectivity or permeability·",Nouvant,https://www.nouvant.com,Theo Dingemans,http://technologies.unc.edu/inventors/18585261_theo-dingemans,John Rainwater Commercialization Manager 919.445.9371,http://technologies.unc.edu/managers/365_john-rainwater,Provisional Patent Application Filed ,#19-0022
Microwave Synthesis of Polymeric Nanoparticles of Controlled Size for Drug Delivery,"The use of nanoparticles in enhanced delivery of drugs to cancerous tissue can minimize the toxicity and side effects attributed to chemotherapy. The present method, Zapped Assembly of Polymeric (ZAP) nanoparticles (NP), uses microwave irradiation of block copolymers to produce nanoparticles of controlled size in a scalable manner. Block copolymers, such as poly(lactic-co-glycolic acid) (PLGA), rapidly disperse in the solvent at elevated temperatures provided by microwave heating. Upon cooling, the polymers solidify into nanoparticles through nanoprecipitation. The resulting nanoparticles can be used to encapsulate biologically active molecules such as anti-cancer agents. This microwave-assisted synthetic platform provides the ability to rapidly develop size-specific PLGA NPs for drug delivery applications.· Nanoparticle sizes range from sub-20 nm to 350 nm in diameter· Tunable control of nanoparticle sizes based on the reaction parameters in microwave synthesis· PLGA copolymer provides a hydrophilic corona with PEG to promote prolonged circulation and evasion of the reticuloendothelial systemStage of Development: This method has been demonstrated in the laboratory. Specifically, stable PLGA5k 25 nm, PLGA10k 50 nm, and PLGA20k 100 nm NPs were synthesized at laboratory scale. The NPs were also loaded with the chemotherapeutic paclitaxel (PXL) and elicited dose-dependent cancer cell cytotoxicity.",Zapped assembly of polymeric (ZAP) nanoparticles for anti-cancer drug delivery,https://pubs.rsc.org/en/content/articlelanding/2019/nr/c8nr09944h#!divAbstract,Matthew Parrott,http://technologies.unc.edu/inventors/18585138_matthew-parrott,John Rainwater Commercialization Manager 919.445.9371,http://technologies.unc.edu/managers/365_john-rainwater,Provisional Patent Application Filed ,#17-0081
Gamma Secretase Inhibitors Attenuate Vascular Malformations,"Gamma secretase inhibitors (GSI) have been determined to attenuate vascular malformations by inhibiting NOTCH expression in endothelial cells. Vascular malformations are developmental abnormalities of venous, arterial, capillary or lymphatic vessels which have significant morbidities such as pain, infection, pulmonary emboli, bleeding and even death. There is growing interest in medical management of vascular malformations, however existing treatments often cannot result in complete lesion resolution and do not produce permanent results, indicating that there is a significant need for alternative therapies. The use of GSI can provide an alternative and potent treatment for vascular formations.",Notch signaling pathway is a potential therapeutic target for extracranial vascular malformations,https://www.ncbi.nlm.nih.gov/pubmed/30573741,Julie Blatt,http://technologies.unc.edu/inventors/18584997_julie-blatt,Jackie Quay Director 919.966.3929,http://technologies.unc.edu/managers/370_jackie-quay,Provisional Patent Application Filed ,#16-0192
Recombinant Antigens for Differential Serological Detection of Remote Zika Infection,"Two novel antigens have been developed for the serological diagnosis of Zika virus. Accurate diagnosis of Zika is critically important to its treatment, prevention, and further clinical research. Antibodies raised in response to other flaviviruses are often cross reactive to Zika virus, complicating serological diagnosis. Our novel recombinant antigens demonstrate lower cross reactivity as compared to other flavivirus-specific antibodies in serum collected from Zika patients, making them candidates for use in a Zika-specific immunosorbent assay.",Development of Envelope Protein Antigens To Serologically Differentiate Zika Virus Infection from Dengue Virus Infection,https://www.ncbi.nlm.nih.gov/pubmed/29263206,Aravinda Desilva,http://technologies.unc.edu/inventors/18585233_aravinda-desilva,Kyle Bartholomew  ,http://technologies.unc.edu/managers/447_kyle-bartholomew,Provisional Patent Application Filed ,#18-0017
Highly Specific and Neutralizing Therapeutic Antibodies for Zika Virus,Our investigators have identified two highly specific and neutralizing antibodies isolated from a traveler naïve to all serotypes of Dengue. The antibodies (A9E and G9E) can be used against 7 different Zika virus types and react only to Zika virus and no other flaviviruses.Applications:•Diagnosis and treatment of Zika virus infection.•Antibody sequences for vaccine development.Advantages:•Non-reactive to Dangue and other flavivviruses.•Fully characterized binding site.•More potent and highly specific than currently available Ziki antibodies.,Prior Dengue virus exposure shapes T cell immunity to Zika virus in humans,https://www.ncbi.nlm.nih.gov/pubmed/28978707,Aravinda Desilva,http://technologies.unc.edu/inventors/18585230_aravinda-desilva,Kyle Bartholomew  ,http://technologies.unc.edu/managers/447_kyle-bartholomew,Provisional Patent Application Filed ,#18-0023
AAV-Based Gene Therapy for Equine Osteoarthritis,"An AAV-based gene therapy has been developed to treat equine osteoarthritis (OA). Interleukin receptor antagonist protein (IL-1ra) blocks joint inflammation caused by IL-1b stimulated cells, and for this reason, it has shown promise in the treatment of OA. Our OA gene therapy cassette utilizes an optimized self-complimentary AAV to produce significant levels of IL-1ra in vivo. In equine models of OA, administration of this therapy resulted in the generation of therapeutic levels of IL-1ra that persisted for 8 months and demonstrated minimal to no detrimental effects in joints.",scAAVIL-1ra dosing trial in a large animal model and validation of long-term expression with repeat administration for osteoarthritis therapy,https://www.ncbi.nlm.nih.gov/pubmed/25902762,Richard Samulski,http://technologies.unc.edu/inventors/18585156_richard-samulski,"Kelly Parsons Associate Director, Technology Commercialization 919.962.6277",http://technologies.unc.edu/managers/371_kelly-parsons,PCT Patent Application WO 2018/035441,#17-0041
Light Triggered CRISPR/Cas9 for Spatial and Temporal Control of Genome Editing,"A novel, light-activated Cas9 protein has been developed for better special and temporal control of the CRISPR/Cas9 gene editing system. The addition of a caged lysine residue keeps Cas9 dormant by default, but in the presence of light the lysine caging group falls off and Cas9 springs into action. Unlike standard CRISPR/Cas9, which has full reign over the body, our light-activated system offers precise spatial and temporal control over genetic modifications, thereby reducing the chance of off-target effects and providing exclusive targeting of the tissue of interest.",Optical Control of CRISPR/Cas9 Gene Editing.,https://www.ncbi.nlm.nih.gov/pubmed/25905628,Aravind Asokan,http://technologies.unc.edu/inventors/18585041_aravind-asokan,"Kelly Parsons Associate Director, Technology Commercialization 919.962.6277",http://technologies.unc.edu/managers/371_kelly-parsons,US Patent Pending US 2018/0073002,#16-0095
BALB/c Latency Mouse Line,"BALB/c mice are commonly used for B cell hybridoma development because of their predictable B cell responses to various antigens. Our investigators have developed the tg801 transgenic mouse line, (BALB/c latency mice), as an alternative to the commonly used BALB/c or BALB/c/FcgR2b KO mouse that are often used for hybridoma development. Our mouse line was created via random insertion of a synthetic transgene rather than a specific knock-out of a known gene. We believe that this mouse line is useful for companies and researchers looking to generate high quality antibodies against an antigen.",Kaposi’s Sarcoma-Associated Herpesvirus Latency Locus Renders B Cells Hyperresponsive to Secondary Infections,https://www.ncbi.nlm.nih.gov/pubmed/30021906,Dirk Dittmer,http://technologies.unc.edu/inventors/18585258_dirk-dittmer,Tangible Property  919.966.3929,http://technologies.unc.edu/managers/363_tangible-property,Tangible Property  919.966.3929,#19-0023
Wnt1 as a Therapeutic to Enhance Cardiac Repair and Increase Blood Flow in Patients with PVD,,"Wnt1 is a proangiogenic molecule, enhances human endothelial progenitor function, and increases blood flow to ischemic limbs in a HGF-dependent manner.",https://www.ncbi.nlm.nih.gov/pubmed/21321190,Arjun Deb,http://technologies.unc.edu/inventors/18584866_arjun-deb,Kyle Bartholomew  ,http://technologies.unc.edu/managers/447_kyle-bartholomew,US Patent US 9186388,#11-0002
